"event","experiment time","system time","system time text"
"START",0.000000000E0,1740672473.907,"2025-02-27 18:07:53.907 UTC+02:00"
"PAUSE",3.031923167E2,1740672777.099,"2025-02-27 18:12:57.099 UTC+02:00"
